feature,mean_abs_shap
"airport_name_Charlottesville, VA: Charlottesville Albemarle",0.0
"airport_name_Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",0.0
"airport_name_Chico, CA: Chico Municipal",0.0
"airport_name_Christiansted, VI: Henry E. Rohlsen",0.0
"airport_name_Eagle, CO: Eagle County Regional",0.0
"airport_name_Eau Claire, WI: Chippewa Valley Regional",0.0
"airport_name_El Paso, TX: El Paso International",0.0
"airport_name_College Station/Bryan, TX: Easterwood Field",0.0
airport_BRO,0.0
airport_BTM,0.0
airport_BTV,0.0
airport_CAE,0.0
airport_CAK,0.0
airport_CDB,0.0
airport_CDC,0.0
airport_CDV,0.0
airport_CEC,0.0
airport_BGM,0.0
"airport_name_Columbia, MO: Columbia Regional",0.0
"airport_name_Columbia, SC: Columbia Metropolitan",0.0
"airport_name_Fayetteville, AR: Northwest Arkansas Regional",0.0
"airport_name_Fayetteville, NC: Fayetteville Regional/Grannis Field",0.0
"airport_name_Flagstaff, AZ: Flagstaff Pulliam",0.0
"airport_name_Flint, MI: Bishop International",0.0
"airport_name_Fort Dodge, IA: Fort Dodge Regional",0.0
"airport_name_Fort Leonard Wood, MO: Waynesville-St. Robert Regional Forney Field",0.0
"airport_name_Deadhorse, AK: Deadhorse Airport",0.0
"airport_name_Decatur, IL: Decatur Airport",0.0
"airport_name_Del Rio, TX: Del Rio International",0.0
"airport_name_Des Moines, IA: Des Moines International",0.0
"airport_name_Devils Lake, ND: Devils Lake Regional",0.0
"airport_name_Dickinson, ND: Dickinson - Theodore Roosevelt Regional",0.0
"airport_name_Dillingham, AK: Dillingham Airport",0.0
"airport_name_Dothan, AL: Dothan Regional",0.0
"airport_name_Dubuque, IA: Dubuque Regional",0.0
"airport_name_Durango, CO: Durango La Plata County",0.0
"airport_name_Gillette, WY: Northeast Wyoming Regional",0.0
"airport_name_Grand Forks, ND: Grand Forks International",0.0
"airport_name_Grand Island, NE: Central Nebraska Regional",0.0
"airport_name_Grand Junction, CO: Grand Junction Regional",0.0
"airport_name_Great Falls, MT: Great Falls International",0.0
"airport_name_Greensboro/High Point, NC: Piedmont Triad International",0.0
"airport_name_Greenville, NC: Pitt Greenville",0.0
"airport_name_Elko, NV: Elko Regional",0.0
"airport_name_Elmira/Corning, NY: Elmira/Corning Regional",0.0
"airport_name_Erie, PA: Erie International/Tom Ridge Field",0.0
"airport_name_Escanaba, MI: Delta County",0.0
"airport_name_Eugene, OR: Mahlon Sweet Field",0.0
"airport_name_Evansville, IN: Evansville Regional",0.0
"airport_name_Fairbanks, AK: Fairbanks International",0.0
"airport_name_Fargo, ND: Hector International",0.0
"airport_name_Fayetteville, AR: Northwest Arkansas National",0.0
"airport_name_Gustavus, AK: Gustavus Airport",0.0
"airport_name_Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field",0.0
"airport_name_Hancock/Houghton, MI: Houghton County Memorial",0.0
"airport_name_Harlingen/San Benito, TX: Valley International",0.0
"airport_name_Harrisburg, PA: Harrisburg International",0.0
"airport_name_Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",0.0
"airport_name_Hays, KS: Hays Regional",0.0
"airport_name_Helena, MT: Helena Regional",0.0
"airport_name_Hibbing, MN: Range Regional",0.0
"airport_name_Hilo, HI: Hilo International",0.0
"airport_name_Fort Smith, AR: Fort Smith Regional",0.0
"airport_name_Fort Wayne, IN: Fort Wayne International",0.0
"airport_name_Fresno, CA: Fresno Yosemite International",0.0
"airport_name_Gainesville, FL: Gainesville Regional",0.0
"airport_name_Garden City, KS: Garden City Regional",0.0
"airport_name_Gillette, WY: Gillette Campbell County",0.0
"airport_name_Killeen, TX: Robert Gray AAF",0.0
"airport_name_Knoxville, TN: McGhee Tyson",0.0
"airport_name_Hilton Head, SC: Hilton Head Airport",0.0
"airport_name_Hobbs, NM: Lea County Regional",0.0
"airport_name_Huntsville, AL: Huntsville International-Carl T Jones Field",0.0
"airport_name_Hyannis, MA: Cape Cod Gateway",0.0
"airport_name_Indianapolis, IN: Indianapolis International",0.0
"airport_name_International Falls, MN: Falls International Einarson Field",0.0
"airport_name_Iron Mountain/Kingsfd, MI: Ford",0.0
"airport_name_Islip, NY: Long Island MacArthur",0.0
"airport_name_Ithaca/Cortland, NY: Ithaca Tompkins International",0.0
"airport_name_Ithaca/Cortland, NY: Ithaca Tompkins Regional",0.0
"airport_name_Jackson, WY: Jackson Hole",0.0
"airport_name_Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",0.0
"airport_name_Guam, TT: Guam International",0.0
"airport_name_Gunnison, CO: Gunnison-Crested Butte Regional",0.0
airport_ESC,0.0
airport_EUG,0.0
airport_EVV,0.0
airport_EWN,0.0
"airport_name_Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",0.0
"airport_name_Lewisburg, WV: Greenbrier Valley",0.0
"airport_name_Lexington, KY: Blue Grass",0.0
"airport_name_Jacksonville/Camp Lejeune, NC: Albert J Ellis",0.0
"airport_name_Jamestown, ND: Jamestown Regional",0.0
"airport_name_Johnstown, PA: John Murtha Johnstown-Cambria County",0.0
"airport_name_Joplin, MO: Joplin Regional",0.0
"airport_name_Juneau, AK: Juneau International",0.0
"airport_name_Kalamazoo, MI: Kalamazoo/Battle Creek International",0.0
"airport_name_West Palm Beach/Palm Beach, FL: Palm Beach International",0.0
"airport_name_Kearney, NE: Kearney Regional",0.0
